Date;Open;High;Low;Close;Price;Volume;Dividends;Stock Splits;;
10/07/2019;12.571.537.109.375,00;13.129.529.296.875,00;11.710.978.515.625,00;121.565.126.953.125,00;108993589843750,00;33627574244;0.0;0.0;;
11/07/2019;121.397.138.671.875,00;12.144.623.046.875,00;111.589.228.515.625,00;11.358.662.109.375,00;-110038476562500,00;28595327690;0.0;0.0;;
12/07/2019;113.542.998.046.875,00;119.054.873.046.875,00;1.117.914.453.125,00;11.815.986.328.125,00;-101727011718750,00;23534692797;0.0;0.0;;
13/07/2019;11.813.126.953.125,00;1.184.195.703.125,00;109.084.794.921.875,00;1.139.237.890.625,00;-10673889062500,00;21042616384;0.0;0.0;;
14/07/2019;113.810.205.078.125,00;114.512.041.015.625,00;10.234.576.171.875,00;1.025.605.859.375,00;-112784599218750,00;22486000001;0.0;0.0;;
15/07/2019;102.578.388.671.875,00;110.527.666.015.625,00;99.920.068.359.375,00;1.089.508.984.375,00;-101488879687500,00;25384047207;0.0;0.0;;
16/07/2019;108.966.533.203.125,00;109.966.328.125,00;94.481.064.453.125,00;94.776.416.015.625,00;-14190117187500,00;24151199070;0.0;0.0;;
17/07/2019;94.712.138.671.875,00;9.963.134.765.625,00;9.163.134.765.625,00;9.693.802.734.375,00;-85018335937500,00;24569921549;0.0;0.0;;
18/07/2019;96.985.029.296.875,00;107.368.427.734.375,00;9.376.798.828.125,00;10.666.482.421.875,00;-86318546875000,00;25187024648;0.0;0.0;;
19/07/2019;106.539.560.546.875,00;1.071.698.046.875,00;1.022.962.890.625,00;10.530.732.421.875,00;-96008828125000,00;20727426310;0.0;0.0;;
20/07/2019;105.258.193.359.375,00;11.048.662.109.375,00;104.512.763.671.875,00;107.671.396.484.375,00;2413203125000,00;20206615155;0.0;0.0;;
21/07/2019;10.777.529.296.875,00;108.418.876.953.125,00;10.389.599.609.375,00;1.059.910.546.875,00;-9717618750000,00;17130580467;0.0;0.0;;
22/07/2019;105.969.482.421.875,00;10.651.791.015.625,00;10.154.921.875,00;103.431.064.453.125,00;-2538417968750,00;16334414913;0.0;0.0;;
23/07/2019;10.346.748.046.875,00;10.346.748.046.875,00;98.835.947.265.625,00;9.900.767.578.125,00;-445980468750,00;17851916995;0.0;0.0;;
24/07/2019;988.773.046.875,00;9.908.796.875,00;9.614.306.640.625,00;981.192.578.125,00;-7580468750,00;17398734322;0.0;0.0;;
25/07/2019;98.090.966.796.875,00;1.015.425.390.625,00;977.395.703.125,00;9.911.841.796.875,00;-88179125000000,00;15821952090;0.0;0.0;;
26/07/2019;9.913.126.953.125,00;9.916.517.578.125,00;9.717.982.421.875,00;98.703.037.109.375,00;88789910156250,00;14495714483;0.0;0.0;;
27/07/2019;98.711.650.390.625,00;101.673.203.125,00;9.411.521.484.375,00;9.477.677.734.375,00;-89233972656250,00;16817809536;0.0;0.0;;
28/07/2019;9.491.626.953.125,00;9.575.544.921.875,00;9.252.296.875,00;95.528.603.515.625,00;86036976562500,00;13738687093;0.0;0.0;;
29/07/2019;95.481.787.109.375,00;96.816.484.375,00;94.729.482.421.875,00;95.191.455.078.125,00;-290332031250,00;13791445323;0.0;0.0;;
30/07/2019;95.223.291.015.625,00;9.701.759.765.625,00;94.373.359.375,00;9.607.423.828.125,00;-85615867187500,00;13829811132;0.0;0.0;;
31/07/2019;960.405.078.125,00;100.856.279.296.875,00;959.809.765.625,00;100.856.279.296.875,00;99895874218750,00;16631520648;0.0;0.0;;
01/08/2019;100.774.423.828.125,00;10.446.919.921.875,00;992.201.953.125,00;103.996.689.453.125,00;3222265625000,00;17165337858;0.0;0.0;;
02/08/2019;1.040.204.296.875,00;10.657.953.125,00;10.371.013.671.875,00;105.181.748.046.875,00;104141543750000,00;17489094082;0.0;0.0;;
03/08/2019;105.192.783.203.125,00;1.094.678.125,00;105.035.048.828.125,00;108.217.265.625,00;-105084565937500,00;15352685061;0.0;0.0;;
04/08/2019;108.216.328.125,00;1.100.920.703.125,00;106.202.783.203.125,00;109.701.845.703.125,00;109593629375000,00;16530894787;0.0;0.0;;
05/08/2019;109.607.353.515.625,00;11.895.091.796.875,00;109.607.353.515.625,00;118.056.533.203.125,00;8449179687500,00;23875988832;0.0;0.0;;
06/08/2019;11.811.544.921.875,00;122.738.212.890.625,00;112.907.314.453.125,00;114.781.689.453.125,00;102970144531250,00;23635107660;0.0;0.0;;
07/08/2019;11.476.193.359.375,00;12.036.990.234.375,00;11.433.701.171.875,00;1.194.196.875,00;-11474999162500,00;22194988641;0.0;0.0;;
08/08/2019;119.540.400.390.625,00;11.979.419.921.875,00;1.155.616.796.875,00;119.664.072.265.625,00;123671875000,00;19481591730;0.0;0.0;;
09/08/2019;119.534.697.265.625,00;119.704.580.078.125,00;117.097.451.171.875,00;118.629.365.234.375,00;-905332031250,00;18339989960;0.0;0.0;;
10/08/2019;11.861.556.640.625,00;119.156.552.734.375,00;113.238.984.375,00;113.540.244.140.625,00;101678687500000,00;18125355447;0.0;0.0;;
11/08/2019;11.349.740.234.375,00;115.235.791.015.625,00;11.248.294.921.875,00;115.235.791.015.625,00;103886050781250,00;15774371518;0.0;0.0;;
12/08/2019;11.528.189.453.125,00;11.528.189.453.125,00;11.320.951.171.875,00;113.826.162.109.375,00;102297972656250,00;13647198229;0.0;0.0;;
